,Variance
ba-3000-4,32.859995999999995,
dms-3000-4,115.56332933333331,
ba-3000-5,38.70332933333333,
dms-3000-5,104.43066266666668,
ba-3000-6,32.83732933333333,
dms-3000-6,104.149996,
ba-3000-7,46.78799599999999,
dms-3000-7,121.02599599999999,
ba-3000-8,35.131996,
dms-3000-8,109.875996,
ba-3000-9,33.223996,
dms-3000-9,127.74599599999999,
ba-3000-10,31.595995999999996,
dms-3000-10,107.25732933333336,
ba-3000-11,35.529996,
dms-3000-11,112.885996,
ba-3000-12,38.30332933333334,
dms-3000-12,126.73199600000001,
ba-3000-13,26.539329333333324,
dms-3000-13,110.66332933333332,
ba-3000-14,29.953995999999993,
dms-3000-14,112.28799599999999,
